2023-12-13 21:17:33.048 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.048 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 21:17:33.049 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.050 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.050 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.050 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.050 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.051 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.052 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:33.052 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 21:17:33.056 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.common.AspectControllerTimeConsuming - getWorkOrder()方法的入参为：[null, null]，返回值为：HttpResult(success=true, message=ok, data=[], code=200)，耗时(ms):801
2023-12-13 22:12:03.583 INFO  4460 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-12-13 22:12:03.603 INFO  4460 --- [main] com.pg.screen.PowerGridScreenApplication - Starting PowerGridScreenApplication using Java 1.8.0_92 on DESKTOP-J7GIHP0 with PID 4460 (G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe\target\classes started by 12578 in G:\project\parttime\visualLargeScreenServe\visualLargeScreenServe)
2023-12-13 22:12:03.605 DEBUG 4460 --- [main] com.pg.screen.PowerGridScreenApplication - Running with Spring Boot v2.7.8, Spring v5.3.25
2023-12-13 22:12:03.606 INFO  4460 --- [main] com.pg.screen.PowerGridScreenApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-13 22:12:07.448 INFO  4460 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2023-12-13 22:12:07.475 INFO  4460 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2023-12-13 22:12:07.477 INFO  4460 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 22:12:07.478 INFO  4460 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-12-13 22:12:07.924 INFO  4460 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-13 22:12:07.926 INFO  4460 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4099 ms
2023-12-13 22:12:12.530 INFO  4460 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2023-12-13 22:12:12.629 INFO  4460 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2023-12-13 22:12:12.660 INFO  4460 --- [main] com.pg.screen.PowerGridScreenApplication - Started PowerGridScreenApplication in 10.711 seconds (JVM running for 20.97)
2023-12-13 22:12:17.717 INFO  4460 --- [http-nio-8001-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-13 22:12:17.718 INFO  4460 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-13 22:12:17.720 INFO  4460 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-12-13 22:12:17.959 INFO  4460 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-13 22:12:19.117 INFO  4460 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-13 22:12:19.135 DEBUG 4460 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==>  Preparing: SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN ? AND ?
2023-12-13 22:12:19.716 DEBUG 4460 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==> Parameters: 2023-01-03(LocalDate), 2023-01-05(LocalDate)
2023-12-13 22:12:20.232 DEBUG 4460 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - <==      Total: 44
2023-12-13 22:12:20.238 INFO  4460 --- [http-nio-8001-exec-1] mybatis-flex-sql - SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN  '2023-01-03' AND '2023-01-05' ,521ms
2023-12-13 22:12:20.260 INFO  4460 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
